id,displayName,displayName_pt,importName,name,name_pt,subname,subname_pt,serial,set,rarity,tribe,ability,ability_pt,flavorText,flavorText_pt,unique,mugicCost,artist,imageUrl,mugicNotes/0/letter,mugicNotes/0/length,mugicNotes/0/sharp,mugicNotes/0/flat,mugicNotes/1/letter,mugicNotes/1/length,mugicNotes/1/sharp,mugicNotes/1/flat,mugicNotes/2/letter,mugicNotes/2/length,mugicNotes/2/sharp,mugicNotes/2/flat,mugicNotes/3/letter,mugicNotes/3/length,mugicNotes/3/sharp,mugicNotes/3/flat,mugicNotes/4/letter,mugicNotes/4/length,mugicNotes/4/sharp,mugicNotes/4/flat,mugicNotes/5/letter,mugicNotes/5/length,mugicNotes/5/sharp,mugicNotes/5/flat,mugicNotes/6/letter,mugicNotes/6/length,mugicNotes/6/sharp,mugicNotes/6/flat,uniqueId,mugicNotes/0
DOP-169/232,Interlude of Consequence,Interlúdio de Consequência,interludeofconsequence,Interlude of Consequence,Interlúdio de Consequência,,,169/232,dop,super rare,generic,Shuffle target player's Attack Deck or Location Deck.,Embaralhe o Baralho de Ataque ou o Baralho de Locais do jogador alvo.,"In desperate situations, turmoil and confusion can be one's allies.","Em situações desesperadoras, turbulência e confusão podem ser suas aliadas.",FALSE,1,Karol Kolodzinski,https://i.imgur.com/r3KIQSH.png,C,3,FALSE,FALSE,G,3,FALSE,TRUE,F,3,FALSE,FALSE,G,1,FALSE,FALSE,A,2,FALSE,TRUE,B,1,FALSE,TRUE,C,4,FALSE,FALSE,Interlude of Consequence__dop,
DOP-185/232,Melody of Malady,Melodia da Doença,melodyofmalady,Melody of Malady,Melodia da Doença,,,185/232,dop,super rare,underworld,Target engaged Creature gains 10 Energy. Deal 5 damage to another target engaged Creature.,"A criatura alvo em combate ganha 10 de Energia.
Cause 5 de dano a outra criatura alvo em combate.","""A little bit more for me, a little bit less for you. Perfect!""— Zalvar","""Um pouco mais para mim, um pouco menos para você. Perfeito!"" — Zalvar",FALSE,1,Jerico Santander,https://i.imgur.com/za7pbn2.png,D,2,FALSE,FALSE,A,1,FALSE,FALSE,A,3,FALSE,TRUE,E,2,FALSE,FALSE,F,2,FALSE,FALSE,D,1,FALSE,TRUE,C,4,FALSE,FALSE,Melody of Malady__dop,
DOP-198/232,Melody of Mirage,Melodia da Miragem,melodyofmirage,Melody of Mirage,Melodia da Miragem,,,198/232,dop,rare,mipedian,Target attack deals 0 damage.,O ataque alvo causa 0 de dano.,"Trust your ears, not your eyes.","Confie nos seus ouvidos, não nos seus olhos.",FALSE,1,Jerico Santander,https://i.imgur.com/s6Pj05d.png,C,1,FALSE,FALSE,A,3,FALSE,FALSE,C,1,FALSE,FALSE,B,3,FALSE,FALSE,C,1,FALSE,FALSE,D,1,FALSE,FALSE,E,4,FALSE,TRUE,Melody of Mirage__dop,
DOP-170/232,Minor Flourish,Floreio Menor,minorflourish,Minor Flourish,Floreio Menor,,,170/232,dop,common,generic,Heal 10 damage to target Creature.,Cure 10 de dano à criatura alvo.,"""Anyone can imitate a melody, but to hear it in one's head for the very first time... that is a gift."" — Najarin","""Qualquer um pode imitar uma melodia, mas ouvi-la na própria cabeça pela primeira vez... isso é um dom."" — Najarin",FALSE,1,Peter Joworoski,https://i.imgur.com/yjQGZoV.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minor Flourish__dop,
DOP-177/232,Mugic Reprise,Mugic Reprise,mugicreprise,Mugic Reprise,Mugic Reprise,,,177/232,dop,ultra rare,overworld,Return target Mugic Card from your general discard pile to your hand.,Devolva o Mugic alvo da sua Pilha de Descarte para a sua mão.,Everything that was once lost will be found again.,Tudo o que um dia foi perdido será reencontrado.,FALSE,2,Peter Joworoski,https://i.imgur.com/Fezdp1i.png,C,1,FALSE,FALSE,G,1,FALSE,TRUE,D,1,FALSE,TRUE,C,1,FALSE,FALSE,B,1,FALSE,TRUE,G,1,FALSE,TRUE,F,4,FALSE,FALSE,Mugic Reprise__dop,
DOP-199/232,Notes of Neverwhere,Notas do Desconhecido,notesofneverwhere,Notes of Neverwhere,Notas do Desconhecido,,,199/232,dop,common,mipedian,The active Location loses all abilities.,O local ativo perde todas as suas habilidades.,"""If you have all that you need, you are always home."" — From an ancient Mugician text","""Se você tem tudo o que precisa, está sempre em casa."" — De um antigo texto múgico",FALSE,1,Karol Kolodzinski,https://i.imgur.com/Sy9asbT.png,C,1,FALSE,FALSE,A,2,FALSE,TRUE,G,1,FALSE,FALSE,F,1,TRUE,FALSE,G,1,FALSE,FALSE,F,1,TRUE,FALSE,F,4,FALSE,FALSE,Notes of Neverwhere__dop,
DOP-178/232,OverWorld Aria,Ária do OutroMundo,overworldaria,OverWorld Aria,Ária do OutroMundo,,,178/232,dop,super rare,overworld,Heal 10 damage to target OverWorld Creature. Damage dealt to that Creature by :fire:Fire attacks is reduced by 5.,"Cura 10 de dano à criatura alvo do OutroMundo.
O dano causado a essa criatura por ataques de Fogo é reduzido em 5.",Mugicians choose host Creatures along tribe affiliations.,Os Mugicians escolhem criaturas hospedeiras de acordo com suas afiliações tribais.,FALSE,1,Peter Joworoski,https://i.imgur.com/qpfaU22.png,D,2,FALSE,FALSE,C,3,FALSE,FALSE,C,1,FALSE,FALSE,A,1,FALSE,FALSE,F,2,FALSE,FALSE,A,1,FALSE,FALSE,G,1,FALSE,FALSE,OverWorld Aria__dop,
DOP-179/232,Refrain of Denial,Refrão da Rejeição,refrainofdenial,Refrain of Denial,Refrão da Rejeição,,,179/232,dop,super rare,overworld,Negate target Mugic.,Negue o Mugic alvo.,Cacophony signaled the beginning of the end of peace for the Mugicians.,A cacofonia sinalizou o início do fim da paz para os Mugicians.,FALSE,2,Martin Molski,https://i.imgur.com/bvt9Wiz.png,B,2,FALSE,TRUE,A,1,FALSE,FALSE,G,2,FALSE,FALSE,E,1,FALSE,TRUE,D,1,FALSE,FALSE,B,1,FALSE,TRUE,G,4,FALSE,FALSE,Refrain of Denial__dop,
DOP-186/232,"Refrain of Denial, (OverWorld)","Refrão da Rejeição, (OutroMundo)",refrainofdenialoverworld,Refrain of Denial,Refrão da Rejeição, (OverWorld), (OutroMundo),186/232,dop,super rare,underworld,Negate target Generic or OverWorld Mugic.,Negue o Mugic alvo Genérico ou do Outromundo.,"""No such thing as Mugicians! Now fight!"" — Dardemus","""Sem essa de Mugicians! Agora lutem!"" — Dardemus",FALSE,1,Jerico Santander,https://i.imgur.com/DFn5BKV.png,B,2,FALSE,TRUE,G,1,FALSE,FALSE,A,2,FALSE,FALSE,D,1,FALSE,FALSE,E,1,FALSE,TRUE,C,1,FALSE,FALSE,D,4,FALSE,FALSE,"Refrain of Denial, (OverWorld)__dop",
DOP-192/232,"Refrain of Denial, (OverWorld/UnderWorld)","Refrão da Rejeição, (OutroMundo/Submundo)",refrainofdenialoverworldunderworld,Refrain of Denial,Refrão da Rejeição, (OverWorld/UnderWorld), (OutroMundo/Submundo),192/232,dop,uncommon,danian,Negate target OverWorld or UnderWorld Mugic.,Negue o Mugic alvo do OutroMundo ou do Submundo.,"""The secret to using Mugic is to not try to solve its mysteries."" — Lore","""O segredo para usar Mugics é não tentar desvendar seus mistérios."" — Lore",FALSE,1,Peter Joworoski,https://i.imgur.com/jS2JNXk.png,G,2,FALSE,FALSE,B,1,FALSE,TRUE,D,2,FALSE,FALSE,E,1,FALSE,TRUE,G,1,FALSE,FALSE,A,1,FALSE,FALSE,D,3,FALSE,FALSE,"Refrain of Denial, (OverWorld/UnderWorld)__dop",
DOP-187/232,Song of Asperity,Canção da Aspereza,songofasperity,Song of Asperity,Canção da Aspereza,,,187/232,dop,rare,underworld,"Target Creature gains "":fire:Fire 5"" and "":air:Air 5.""","A Criatura alvo ganha ""Fogo 5"" e ""Ar 5"".","When anger is all-consuming, hatred is the gateway to a hideous power.","Quando a raiva consome tudo, o ódio se torna a porta de entrada para um poder terrível.",FALSE,1,Christian Jehie,https://i.imgur.com/tws6ogC.png,C,1,FALSE,FALSE,G,1,TRUE,FALSE,C,1,TRUE,FALSE,A,1,FALSE,FALSE,D,1,FALSE,FALSE,B,1,FALSE,TRUE,D,4,FALSE,FALSE,Song of Asperity__dop,
DOP-200/232,Song of Deflection,Canção da Deflexão,songofdeflection,Song of Deflection,Canção da Deflexão,,,200/232,dop,ultra rare,mipedian,Change the target of target Mugic or ability with a single target.,Altere o alvo do Mugic ou habilidade com um único alvo.,Beauty is in the ears of the beholder - even discordant notes sound harmonious in dire situations.,A beleza está nos ouvidos de quem ouve – até mesmo notas dissonantes soam harmoniosas em situações difíceis.,FALSE,3,Martin Molski,https://i.imgur.com/4h3K41X.png,F,3,TRUE,FALSE,G,3,TRUE,FALSE,A,3,FALSE,FALSE,F,3,TRUE,FALSE,B,1,FALSE,FALSE,B,1,FALSE,FALSE,B,3,FALSE,FALSE,Song of Deflection__dop,
DOP-171/232,Song of EmberNova,Canção de EmberNova,songofembernova,Song of EmberNova,Canção de EmberNova,,,171/232,dop,rare,generic,Deal 10 damage to target Creature with :air:Air or :fire:Fire.,Cause 10 de dano à criatura alvo com Ar ou Fogo.,"Fire consumes air, suffocating the earth.","O fogo consome o ar, sufocando a terra.",FALSE,1,Peter Joworoski,https://i.imgur.com/7ImYyBy.png,C,2,FALSE,FALSE,A,1,FALSE,TRUE,G,3,FALSE,FALSE,D,1,FALSE,TRUE,C,2,FALSE,FALSE,C,1,FALSE,FALSE,F,4,TRUE,FALSE,Song of EmberNova__dop,
DOP-180/232,Song of Focus,Canção do Foco,songoffocus,Song of Focus,Canção do Foco,,,180/232,dop,uncommon,overworld,"Target Creature gains 10 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed.","A criatura alvo ganha 10 de Coragem, Poder, Sabedoria e Velocidade.",,,FALSE,1,Jerico Santander,https://i.imgur.com/PEfOVD0.png,G,3,FALSE,FALSE,A,1,FALSE,FALSE,E,1,FALSE,FALSE,G,1,FALSE,FALSE,F,2,TRUE,FALSE,D,2,FALSE,FALSE,E,4,FALSE,FALSE,Song of Focus__dop,
DOP-188/232,Song of Fury,Canção da Fúria,songoffury,Song of Fury,Canção da Fúria,,,188/232,dop,rare,underworld,"Deal 10 damage to target Creature. Another target Creature gains "":fire:Fire 5.""","Cause 10 de dano à criatura alvo.
Outra criatura alvo ganha "":fire:Fogo 5"".","""My legs or my Mugician? There is no choice. Cut them off!"" — Miklon","""Minhas pernas ou meu Mugician? Não há escolha. Cortem-nas fora!"" — Miklon",FALSE,1,Karol Kolodzinski,https://i.imgur.com/A6VPuSY.png,A,1,FALSE,TRUE,D,1,FALSE,FALSE,A,1,FALSE,FALSE,E,1,FALSE,TRUE,A,1,FALSE,TRUE,D,1,FALSE,FALSE,B,4,FALSE,FALSE,Song of Fury__dop,
DOP-172/232,Song of Futuresight,Canção da Visão do Futuro,songoffuturesight,Song of Futuresight,Canção da Visão do Futuro,,,172/232,dop,common,generic,Look at the top two cards of target player's Attack Deck or Location Deck. Put one of them on top of that deck and the other on the bottom.,"Observe as duas cartas do topo do Baralho de Ataque ou do Baralho de Locais do jogador alvo.
Coloque uma delas no topo desse baralho e a outra no fundo.",Take care when peering into the future. Sometimes it is best to not know what comes.,"Tenha cuidado ao tentar prever o futuro. Às vezes, é melhor não saber o que virá.",FALSE,1,Martin Molski,https://i.imgur.com/LHDjXAx.png,C,1,FALSE,FALSE,G,1,FALSE,FALSE,A,2,FALSE,TRUE,G,1,FALSE,FALSE,B,1,FALSE,TRUE,A,1,FALSE,FALSE,C,4,TRUE,FALSE,Song of Futuresight__dop,
DOP-173/232,Song of GeoNova,Canção de GeoNova,songofgeonova,Song of GeoNova,Canção de GeoNova,,,173/232,dop,rare,generic,Deal 10 damage to target Creature with :earth:Earth or :water:Water.,Cause 10 de dano à criatura alvo com Terra ou Água.,Forsake the land and the land will forsake you.,Abandone a terra e a terra o abandonará.,FALSE,1,Peter Joworoski,https://i.imgur.com/iOYFEEv.png,E,2,FALSE,FALSE,D,2,FALSE,FALSE,F,2,FALSE,FALSE,D,2,FALSE,FALSE,F,1,TRUE,FALSE,F,1,TRUE,FALSE,D,4,TRUE,FALSE,Song of GeoNova__dop,
DOP-193/232,Song of Mandiblor,Canção de Mandiblor,songofmandiblor,Song of Mandiblor,Canção de Mandiblor,,,193/232,dop,super rare,danian,"Target Creature gains 5 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed for each Danian Creature in play.","A Criatura alvo ganha 5 de Coragem, Poder, Sabedoria e Velocidade para cada Danian em jogo.","Listen and learn the true strength of the Danian tribe — when you face one, you contend with all.","Escute e aprenda a verdadeira força da tribo Danian — quando se enfrenta um, se enfrentam todos.",FALSE,1,Jerico Santander,https://i.imgur.com/SuihghC.png,E,1,FALSE,TRUE,F,3,FALSE,FALSE,G,2,FALSE,FALSE,C,1,FALSE,FALSE,F,2,FALSE,FALSE,E,2,FALSE,FALSE,A,4,FALSE,FALSE,Song of Mandiblor__dop,
DOP-201/232,Song of Recovery,Canção da Recuperação,songofrecovery,Song of Recovery,Canção da Recuperação,,,201/232,dop,uncommon,mipedian,"Heal 10 damage to target Creature. That Creature gains "":air:Air 5.""","Cure 10 de dano à criatura alvo.
A Criatura ganha ""Ar 5"".",Tiaane believes that each Mugic is but a small piece of a great opus.,Tiaane acredita que cada Mugic é apenas uma pequena parte de um grande opus.,FALSE,1,Jerico Santander,https://i.imgur.com/8CpvFvT.png,C,3,FALSE,FALSE,B,1,FALSE,TRUE,A,1,FALSE,FALSE,G,2,FALSE,FALSE,C,2,FALSE,FALSE,F,3,FALSE,FALSE,G,3,FALSE,FALSE,Song of Recovery__dop,
DOP-194/232,Song of Resistance,Canção da Resistência,songofresistance,Song of Resistance,Canção da Resistência,,,194/232,dop,uncommon,danian,Damage dealt by attacks to the caster is reduced by 5.,O dano causado por Ataques ao usuário é reduzido em 5.,Even the proudest Danian would never deny a chance to harden his shell.,Nem mesmo o Danian mais orgulhoso recusaria a chance de endurecer sua casca.,FALSE,2,Karol Kolodzinski,https://i.imgur.com/vFqmtUx.png,A,2,FALSE,TRUE,G,2,FALSE,FALSE,D,2,FALSE,FALSE,E,2,FALSE,TRUE,B,1,FALSE,FALSE,B,1,FALSE,TRUE,A,3,FALSE,FALSE,Song of Resistance__dop,
DOP-181/232,Song of Resurgence,Canção do Ressurgimento,songofresurgence,Song of Resurgence,Canção do Ressurgimento,,,181/232,dop,uncommon,overworld,Heal 20 damage to target Creature.,Cure 20 de dano à criatura alvo.,"""Our understanding of Mugic is the direct inverse of our gratitude for its existence."" — Najarin","""Nossa compreensão do Mugic é inversamente proporcional à nossa gratidão por sua existência."" — Najarin",FALSE,1,Karol Kolodzinski,https://i.imgur.com/zF7Ph9u.png,E,1,FALSE,FALSE,G,1,FALSE,FALSE,B,1,FALSE,FALSE,D,1,FALSE,FALSE,A,1,FALSE,FALSE,C,1,TRUE,FALSE,F,4,TRUE,FALSE,Song of Resurgence__dop,
DOP-189/232,"Song of Revival, (UnderWorld)",,songofrevivalunderworld,Song of Revival,, (UnderWorld),,189/232,dop,ultra rare,underworld,Return target UnderWorld Creature Card in your general discard pile to play to any unoccupied space on the Battleboard.,,The Mugicians believed that anything that once was cannot be lost forever.,,FALSE,2,Martin Molski,https://i.imgur.com/XSj0HXO.png,F,2,FALSE,FALSE,D,2,FALSE,FALSE,G,2,FALSE,FALSE,E,2,FALSE,FALSE,A,1,FALSE,FALSE,C,1,FALSE,FALSE,D,3,FALSE,FALSE,"Song of Revival, (UnderWorld)__dop",
DOP-182/232,Song of Stasis,Canção do Estase,songofstasis,Song of Stasis,Canção do Estase,,,182/232,dop,rare,overworld,Target Creature cannot move.,Criatura alvo não pode se mover.,A melody has the power to move you... or not.,Uma melodia tem o poder de te mover montanhas... ou não.,FALSE,1,Martin Molski,https://i.imgur.com/QwladhN.png,E,1,FALSE,TRUE,C,1,FALSE,FALSE,E,1,FALSE,TRUE,G,1,FALSE,FALSE,A,3,FALSE,TRUE,G,1,FALSE,FALSE,B,4,FALSE,FALSE,Song of Stasis__dop,
DOP-195/232,Song of Surprisal,Canção da Surpresa,songofsurprisal,Song of Surprisal,Canção da Surpresa,,,195/232,dop,common,danian,"Target Creature gains ""Range"" and ""Swift 1.""","A Criatura alvo ganha ""Alcance"" e ""Ágil 1"".",The usefulness of Mugic in battle is but a side effect. Its true purpose remains unknown.,A utilidade do Mugic em batalha é apenas um efeito colateral. Seu verdadeiro propósito permanece desconhecido.,FALSE,1,Jerico Santander,https://i.imgur.com/Oau2New.png,F,1,FALSE,FALSE,B,1,FALSE,TRUE,C,1,FALSE,FALSE,D,1,FALSE,TRUE,F,1,FALSE,FALSE,B,1,FALSE,TRUE,E,4,FALSE,FALSE,Song of Surprisal__dop,
DOP-196/232,Song of Symmetry,Canção da Simetria,songofsymmetry,Song of Symmetry,Canção da Simetria,,,196/232,dop,rare,danian,Target engaged Creature gains 10 Energy. Deal 10 damage to another target engaged Creature.,"A Criatura alvo em combate ganha 10 de Energia.
Cause 10 de dano a outra criatura alvo em combate.","Your strength is now mine, my weakness is now yours!","Sua força agora é minha, minha fraqueza agora é sua!",FALSE,1,Peter Joworoski,https://i.imgur.com/kXS74AX.png,C,3,FALSE,FALSE,G,1,FALSE,FALSE,D,2,FALSE,FALSE,A,2,FALSE,FALSE,E,4,FALSE,FALSE,B,1,FALSE,FALSE,E,4,FALSE,FALSE,Song of Symmetry__dop,
DOP-190/232,Song of Treachery,Canção da Traição,songoftreachery,Song of Treachery,Canção da Traição,,,190/232,dop,common,underworld,"Target Creature loses 15 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed.","A Criatura alvo perde 15 de Coragem, Poder, Sabedoria e Velocidade.",One cannot move forward if one's always watching one's own back.,Não se pode avançar se estivermos sempre olhando para trás.,FALSE,1,Jerico Santander,https://i.imgur.com/hlQEG0a.png,G,1,FALSE,FALSE,A,1,FALSE,TRUE,B,1,FALSE,FALSE,E,1,FALSE,TRUE,D,3,FALSE,FALSE,B,1,FALSE,TRUE,E,4,FALSE,FALSE,Song of Treachery__dop,
DOP-174/232,Song of Truesight,Canção da Visão da Verdade,songoftruesight,Song of Truesight,Canção da Visão da Verdade,,,174/232,dop,common,generic,Target Creature loses Invisibility.,A Criatura alvo perde a Invisibilidade.,"A melody may help you see things more clearly, so how can sound be invisible?","Uma melodia pode ajudar a enxergar as coisas com mais clareza, então como o som pode ser invisível?",FALSE,1,Karol Kolodzinski,https://i.imgur.com/KucdmYD.png,G,2,FALSE,FALSE,E,1,FALSE,FALSE,C,3,FALSE,FALSE,A,1,FALSE,FALSE,F,2,FALSE,FALSE,E,1,FALSE,FALSE,F,4,FALSE,FALSE,Song of Truesight__dop,
DOP-202/232,Trills of Diminution,Trilos de Diminuição,trillsofdiminution,Trills of Diminution,Trilos de Diminuição,,,202/232,dop,common,mipedian,Target engaged Creature loses all abilities.,A Criatura alvo perde todas as suas habilidades.,Even the simplest sounds can resonate in one's mind.,Até os sons mais simples podem ressoar na mente de alguém.,FALSE,1,Jerico Santander,https://i.imgur.com/GU5C0PV.png,D,1,FALSE,FALSE,C,1,TRUE,FALSE,D,1,FALSE,FALSE,C,1,TRUE,FALSE,D,2,FALSE,FALSE,G,2,FALSE,FALSE,A,4,FALSE,TRUE,Trills of Diminution__dop,
ZOTH-71/100,Cascading Rondo,Rondó em Cascata,cascadingrondo,Cascading Rondo,Rondó em Cascata,,,71/100,zoth,super rare,underworld,"Swap your attack discard pile with your Attack Deck, then shuffle your Attack Deck.","Troque sua Pilha de Descarte de Ataques com seu Baralho de Ataques e, em seguida, embaralhe seu Baralho de Ataques.","Though he appeared exhausted, he was merely getting his second wind.","Embora parecesse exausto, ele estava apenas recuperando o fôlego.",FALSE,1,Peter Joworoski,https://i.imgur.com/h9g4AzQ.png,D,2,FALSE,FALSE,C,2,FALSE,FALSE,A,2,FALSE,FALSE,B,2,FALSE,TRUE,F,2,FALSE,FALSE,G,2,FALSE,FALSE,E,4,FALSE,FALSE,Cascading Rondo__zoth,
